Type,Last,Volume,Open Int,Daily Premium,Strike,Type,Last,Volume,Open Int,Daily Premium
Call,24.77,N/A,4.00,24770.00,49.00,Put,0.04,18.00,877.00,40.00
Call,24.27,1.00,1.00,24270.00,49.50,Put,0.05,N/A,557.00,50.00
Call,23.77,346.00,804.00,23770.00,50.00,Put,0.05,115.00,4225.00,50.00
Call,23.28,1.00,157.00,23280.00,50.50,Put,0.05,N/A,438.00,50.00
Call,22.78,N/A,689.00,22780.00,51.00,Put,0.06,11.00,749.00,60.00
Call,22.28,N/A,226.00,22280.00,51.50,Put,0.06,14.00,315.00,60.00
Call,21.79,N/A,44.00,21790.00,52.00,Put,0.07,5.00,1240.00,70.00
Call,21.29,N/A,188.00,21290.00,52.50,Put,0.07,2.00,1062.00,70.00
Call,20.79,1.00,46.00,20790.00,53.00,Put,0.08,28.00,1410.00,80.00
Call,20.3,N/A,5.00,20300.00,53.50,Put,0.08,2.00,454.00,80.00
Call,19.81,N/A,4.00,19810.00,54.00,Put,0.09,12.00,1156.00,90.00
Call,19.31,N/A,1.00,19310.00,54.50,Put,0.1,268.00,1487.00,100.00
Call,18.82,N/A,206.00,18820.00,55.00,Put,0.1,639.00,10759.00,100.00
Call,18.33,N/A,4.00,18330.00,55.50,Put,0.11,4.00,289.00,110.00
Call,17.84,N/A,1.00,17840.00,56.00,Put,0.12,21.00,825.00,120.00
Call,17.35,N/A,7.00,17350.00,56.50,Put,0.13,33.00,514.00,130.00
Call,16.86,N/A,3.00,16860.00,57.00,Put,0.15,211.00,1159.00,150.00
Call,16.38,25.00,2.00,16380.00,57.50,Put,0.16,56.00,252.00,160.00
Call,15.89,30.00,1.00,15890.00,58.00,Put,0.18,87.00,6268.00,180.00
Call,15.41,90.00,2.00,15410.00,58.50,Put,0.19,15.00,204.00,190.00
Call,14.93,N/A,2.00,14930.00,59.00,Put,0.21,54.00,892.00,210.00
Call,14.45,N/A,9.00,14450.00,59.50,Put,0.23,20.00,606.00,230.00
Call,13.98,2.00,452.00,13980.00,60.00,Put,0.26,141.00,14122.00,260.00
Call,13.5,N/A,5.00,13500.00,60.50,Put,0.29,37.00,612.00,290.00
Call,13.04,N/A,13.00,13040.00,61.00,Put,0.31,163.00,1083.00,310.00
Call,12.57,N/A,1.00,12570.00,61.50,Put,0.35,32.00,312.00,350.00
Call,12.11,N/A,170.00,12110.00,62.00,Put,0.38,244.00,2308.00,380.00
Call,11.65,N/A,2.00,11650.00,62.50,Put,0.42,150.00,990.00,420.00
Call,11.19,N/A,455.00,11190.00,63.00,Put,0.47,375.00,3324.00,470.00
Call,10.74,N/A,208.00,10740.00,63.50,Put,0.51,167.00,625.00,510.00
Call,10.3,N/A,25.00,10300.00,64.00,Put,0.57,305.00,1313.00,570.00
Call,9.85,1.00,13.00,9850.00,64.50,Put,0.62,47.00,331.00,620.00
Call,9.42,10.00,306.00,9420.00,65.00,Put,0.69,684.00,11955.00,690.00
Call,8.99,N/A,45.00,8990.00,65.50,Put,0.76,19.00,436.00,760.00
Call,8.57,3.00,79.00,8570.00,66.00,Put,0.83,66.00,989.00,830.00
Call,8.15,1.00,92.00,8150.00,66.50,Put,0.91,219.00,1036.00,910.00
Call,7.74,N/A,608.00,7740.00,67.00,Put,1,504.00,1494.00,1000.00
Call,7.34,40.00,275.00,7340.00,67.50,Put,1.1,162.00,570.00,1100.00
Call,6.95,41.00,1000.00,6950.00,68.00,Put,1.21,519.00,2815.00,1210.00
